Product Type,Product Title,Variant Title,Variant ID,SKU,Price,Compare at Price,Wholesale Price
Gemstones,1.0 to 3.5mm Round Yellow Citrine Melee,2mm,40188463480985,120-01020-1,14.80,,5
Gemstones,1.0 to 3.5mm Round Yellow Citrine Melee,1.4mm,40188463743129,120-01014-1,14.80,,5
Gemstones,1.0 to 3.5mm Round Yellow Citrine Melee,1.5mm,40188463775897,120-01015-1,14.80,,5
Gemstones,1.0 to 3.5mm Round Yellow Citrine Melee,1.9mm,40188463808665,120-01019-1,14.80,,5
Gemstones,1.0 to 3.5mm Round Yellow Citrine Melee,1.25mm,40188463710361,120-01012-1,14.75,,4.95
Gemstones,1.0 to 3.5mm Round Yellow Citrine Melee,2.5mm,40188463546521,120-01025-1,15.05,,5.25
Gemstones,1.0 to 3.5mm Round Yellow Citrine Melee,2.25mm,40188463513753,120-01022-1,14.90,,5.1
Gemstones,1.0 to 3.5mm Round Yellow Citrine Melee,1mm,40188463677593,120-01010-1,14.70,,4.9
Gemstones,1.0 to 3.5mm Round Yellow Citrine Melee,3.5mm,40188463644825,120-01035-1,15.90,,6.1
Gemstones,1.0 to 3.5mm Round Yellow Citrine Melee,3mm,40188463612057,120-01030-1,15.80,,6
Gemstones,1.0 to 3.5mm Round Yellow Citrine Melee,2.75mm,40188463579289,120-01027-1,15.15,,5.35
Gemstones,10x10mm African Ruby Hexagon Slices,Default Title,40188684140697,017-SLICE-10x10,300.60,,100.2
Gemstones,10x10mm Amelia Teal Amazonite™ Hexagon Tablets,Default Title,40188952805529,602-13491-1,75.00,,25
Gemstones,10x10mm Bronze Sapphire Hexagon Tablets,Default Title,40188943401113,030-13491-BK,399.18,,133.06
Gemstones,10x10mm Hexagonal Tablet Gem Blue Mexican Chalcedony,Default Title,40188764455065,371-13491-1,105.00,,35
Gemstones,10x10mm Indian Sunstone Hexagon Tablets,Default Title,40188689547417,236-13491-1,60.00,,20
Gemstones,10x10mm Natural Cushion Cut Meteorite,Default Title,40188707504281,565-08991-1,195.00,,65
Gemstones,10x10mm to 16x12mm Hexagonal Tablet Gem Blue Mexican Chalcedony,10x10mm,40188764291225,371-13491-1,105.00,,35
Gemstones,10x10mm to 16x12mm Hexagonal Tablet Gem Blue Mexican Chalcedony,12x10mm,40188764323993,371-13412-1,115.00,,45
Gemstones,10x10mm to 16x12mm Hexagonal Tablet Gem Blue Mexican Chalcedony,14x10mm,40188764356761,371-13415-1,124.00,,54
Gemstones,10x10mm to 16x12mm Hexagonal Tablet Gem Blue Mexican Chalcedony,16x12mm,40188764389529,371-13451-1,154.00,,84
Gemstones,10x10 to 16x12mm Indian Sunstone Hexagon Tablets,16x12mm,40188689481881,236-13451-1,75.00,,35
Gemstones,10x10 to 16x12mm Indian Sunstone Hexagon Tablets,10x10mm,40188689383577,236-13491-1,60.00,,20
Gemstones,10x10 to 16x12mm Indian Sunstone Hexagon Tablets,12x10mm,40188689416345,236-13412-1,60.00,,20
Gemstones,10x10 to 16x12mm Indian Sunstone Hexagon Tablets,14x10mm,40188689449113,236-13415-1,65.00,,25
Gemstones,10x5mm Elongated Cushion Cut Natural Aquamarine,Default Title,40188426911897,060-01901-U1AAA_0-92,552.00,,184
Gemstones,10x5mm Maine Pink Tourmaline Baguette,Default Title,40188626501785,088-00329-1,1008.00,,336
Gemstones,10x5mm Natural Marquise Cut Mesa Verde® Peridot,Default Title,40188765274265,160-00829-1,60.00,,20
Gemstones,10x5mm Natural Marquise Nightsky Iolite®,Default Title,40188889956505,220-00829-1,81.00,,27
Gemstones,10x5mm Natural Oval Buff Top Oregon Blue Hyalite Opal,Default Title,40188717793433,403-08129-1,159.00,,53
Gemstones,10x5 to 12x6mm Natural Oval Buff Top Oregon Blue Hyalite Opal,12x6mm,40188717760665,403-08136-1,176.50,,70.5
Gemstones,10x5 to 12x6mm Natural Oval Buff Top Oregon Blue Hyalite Opal,10x5mm,40188717727897,403-08129-1,159.00,,53
Gemstones,10x6mm modified cushion cut seafoam tourmaline,Default Title,40212851097753,077-01901-2T3_2-72,1700.00,
Gemstones,10x6mm Natural Oval Grape Garnet®,Default Title,40188774711449,045-00123-1,714.00,,238
Gemstones,10x6mm Oval Cabochon Cut Yukon Rhodonite,Default Title,40188899328153,503-09510-2,33.00,,11
Gemstones,10x6mm Oval Natural Red Clearwater Idaho Garnet,Default Title,40188377661593,048-00123-1,105.00,,35
Gemstones,10x7mm Drop Trillion Grape Garnet®,Default Title,40212824588441,045-01441-1_2-26,508.50,
Gemstones,10x7mm Emerald Cut Natural Teal Blue Montana Sapphire,Default Title,40212848869529,J034-00241-NAT_2-11,6330.00,
Gemstones,10x7mm Fantasy Keystone Cut AA Purple Amethyst,Default Title,40188788572313,090-04141-AA,60.00,,20
Gemstones,10x7mm Fantasy Keystone Cut A Purple Amethyst,Default Title,40188790669465,090-04141-A,46.50,,15.5
Gemstones,10x7mm Fantasy Keystone Cut Sky Blue Topaz,Default Title,40188793028761,171-04141-1,43.50,,14.5
Gemstones,10x7mm  Fantasy Onion Cut Natural Yellow Citrine,Default Title,40188785492121,120-04441-1,58.50,,19.5
Gemstones,10x7mm Fantasy Onion Cut Sky Blue Topaz,Default Title,40188310847641,171-04441-1_3-48,104.40,,34.8
Gemstones,10x7mm Kite Cut Tourmalated Quartz,Default Title,40188890644633,108-05141-1,57.00,,19
Gemstones,10x7mm Natural Kite Shape Oregon Sunstone,Default Title,40188894675097,230-05141-1,322.50,,107.5
Gemstones,10x7mm Natural Pear Shape A Aquamarine,Default Title,40188809281689,060-00541-A,528.00,,176
Gemstones,10x7mm Natural Pear Shape Sky Blue Topaz,Default Title,40188861710489,171-00541-1,74.40,,24.8
Gemstones,10x7mm Pear Cut Golden Imperial Topaz,Default Title,40188312027289,173-00541-1_1-67,1252.50,,417.5
Gemstones,10x7mm to 12x9mm Fantasy Keystone Cut A Purple Amethyst,12x9mm,40188790636697,090-04147-A,60.45,,29.45
Gemstones,10x7mm to 12x9mm Fantasy Keystone Cut A Purple Amethyst,10x7mm,40188790603929,090-04141-A,46.50,,15.5
Gemstones,10x7mm to 12x9mm Fantasy Keystone Cut Sky Blue Topaz,12x9mm,40188792995993,171-04147-1,58.58,,29.58
Gemstones,10x7mm to 12x9mm Fantasy Keystone Cut Sky Blue Topaz,10x7mm,40188792963225,171-04141-1,43.50,,14.5
Gemstones,10x7mm to 14x10mm Kite Cut Tourmalated Quartz,10x7mm,40188890284185,108-05141-1,57.00,,19
Gemstones,10x7mm to 14x10mm Kite Cut Tourmalated Quartz,12x9mm,40188890316953,108-05147-1,71.25,,33.25
Gemstones,10x7mm to 14x10mm Kite Cut Tourmalated Quartz,14x10mm,40188890349721,108-05115-1,89.30,,51.3
Gemstones,10x7mm to 17x14mm  Fantasy Onion Cut Natural Yellow Citrine,10x7mm,40188785328281,120-04441-1,58.50,,19.5
Gemstones,10x7mm to 17x14mm  Fantasy Onion Cut Natural Yellow Citrine,17x14mm,40188785426585,120-04417-1,148.20,,109.2
Gemstones,10x7mm to 17x14mm  Fantasy Onion Cut Natural Yellow Citrine,15x12mm,40188785393817,120-04418-1,107.25,,68.25
Gemstones,10x7mm to 17x14mm  Fantasy Onion Cut Natural Yellow Citrine,12x8mm,40188785361049,120-04444-1,64.35,,25.35
Gemstones,10x7mm to 20x15mm Fantasy Keystone Cut AA Purple Amethyst,12x9mm,40188788474009,090-04147-AA,88.00,,48
Gemstones,10x7mm to 20x15mm Fantasy Keystone Cut AA Purple Amethyst,20x15mm,40188788506777,090-04153-AA,300.00,,260
Gemstones,10x7mm to 20x15mm Fantasy Keystone Cut AA Purple Amethyst,10x7mm,40188788441241,090-04141-AA,60.00,,20
Gemstones,10x8 Cushion Rose Cut Arkansas Smoky Quartz,Default Title,40188911157401,099-10910-1,39.00,,13
