Product Type,Product Title,Variant Title,Variant ID,SKU,Price,Compare at Price,Wholesale Price
Beads,"6mm to 8mm Round Utah Veriscite 16"" Bead Strands",8mm,40188740141209,630-09680-1,75.00,
Beads,"7mm Round Basanite 16"" Bead Strands",Default Title,40188859613337,590-09670-ST,30.00,
Beads,7mm Round Rock Crystal 66cm Bead Strands,Default Title,40188848210073,098-09670-ST66CM,30.00,
Beads,8mm and 10mm Round Full Drill Gem Blue Mexican Chalcedony Polished Beads,8mm,40188761047193,371-09680-1,23.00,
Beads,8mm and 10mm Round Full Drill Gem Blue Mexican Chalcedony Polished Beads,10mm,40188761079961,371-09691-1,46.00,
Beads,"8mm Round Colorado Rhodonite 16"" Bead Strands",Default Title,40188739911833,500-09680-1,45.00,
Beads,8mm  Round Full Drill Gem Blue Mexican Chalcedony Polished Beads,Default Title,40188761178265,371-09680-1,23.00,
Beads,"8mm Round Nevada Purple Sage Chalcedony 16"" Bead Strands",Default Title,40188740436121,367-09680-1,60.00,
Beads,"8mm Round Oregon Owyhee Golden Sunset Jasper 16"" Bead Strands",Default Title,40188740042905,578-09680-1,40.00,
Beads,"8mm Round Utah Veriscite 16"" Bead Strands",Default Title,40188740239513,630-09680-1,75.00,
Beads,9x6mm Half Drilled Gem Blue Mexican Chalcedony Polished Drop Beads,Default Title,40188760817817,371-08234-1,22.00,
Beads,9x6mm to 20x7mm Half Drilled Gem Blue Mexican Chalcedony Polished Drop Beads,20mm,40188760752281,371-08220x7-1,67.00,
Beads,9x6mm to 20x7mm Half Drilled Gem Blue Mexican Chalcedony Polished Drop Beads,9x7mm,40188760686745,371-08234-1,22.00,
Beads,9x6mm to 20x7mm Half Drilled Gem Blue Mexican Chalcedony Polished Drop Beads,10x7mm,40188760719513,371-08241-1,32.00,
Beads,Arizona Peridot Polished Baroque Rough Drilled Bead Strands,Default Title,40188846604441,160-NUGGET-SML,75.00,
Beads,Brazilian Rose Quartz Graduated Triangle Tube Beads,Default Title,40188723134617,100-FBD-N01-ST,125.00,
Beads,Dumortierite Polished Baroque Rough Drilled Bead Strands,Default Title,40188877734041,625-NUGGET-SML,35.00,
Beads,Grape Garnet® Graduated Rondelle Bead Strand,Default Title,40188723200153,045-10501-1,500.00,
Beads,Grape Garnet® Polished Baroque Rough Drilled Beads,Default Title,40188722970777,045-POLRGH-BEADS,185.00,
Beads,Indian Red Agate Polished Baroque Rough Drilled Bead Strands,Default Title,40188846178457,368-NUGGET-IRSML,45.00,
Beads,Nevada Purple Sage Chalcedony Polished Baroque Rough Drilled Bead Strands,Default Title,40188847030425,367-NUGGET_SML,40.00,
Beads,Oregon Black Jasper Polished Baroque Rough Drilled Bead Strands,Default Title,40188846833817,585-NUGGET-SML,25.00,
